run_name,path,bytes,reason
masc_official_smoke,outputs/masc_official_smoke,444682087,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep200_lr0010_fr005_kd050_t2,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep200_lr0010_fr005_kd050_t2,76605014,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr005_kd050_t2,outputs/cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep300_lr0010_fr005_kd050_t2,76602880,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep275_fr005_kd050,70607300,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr006_kd050,70607283,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep250_fr004_kd050,70607245,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr0075_kd050,70607219,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep350_fr005_kd050,70607210,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd040,70607203,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep500_fr003_kd050,70607201,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,outputs/cifar100_4agent_25cls_refine_tuning_ipc50_ep300_fr005_kd060,70607184,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,outputs/cifar100_4agent_25cls_joint_tuning_ipc50_ep700_fr005_kd050,70607137,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_latesched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_latesched,21602203,non-best tuning/smoke/intermediate run; review before deleting artifacts
