run_name,path,bytes,reason
cifar100_tq_conv3_guidee0002_seed0_ipc10_smoke_v2,outputs/cifar100_tq_conv3_guidee0002_seed0_ipc10_smoke_v2,4398728,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_tq_conv3_guidee0002_seed0_ipc10_smoke,outputs/cifar100_tq_conv3_guidee0002_seed0_ipc10_smoke,4396852,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_latesched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_latesched,24018,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_self15,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched_self15,23858,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_latesched,23808,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_sched,23747,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self20,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self20,23650,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t2_self15,23628,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t1,23591,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd070_t3,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd070_t3,23585,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep065_fr020_kd060_t2,23582,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t4,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t4,23580,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd060_t2,23579,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep055_fr020_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep055_fr020_kd060_t2,23571,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr030_kd060_t2,23571,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3,23570,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr025_kd050,23553,non-best tuning/smoke/intermediate run; review before deleting artifacts
cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060,outputs/cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060,23549,non-best tuning/smoke/intermediate run; review before deleting artifacts
