path	bytes	category	reason	approval
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/packets	2461346	partial_dsdm_packet	old 100-checkpoint schedule stopped during agent 0 distillation; sparse restart must not consume the partial packet	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/synthetic	12306213	partial_dsdm_synthetic	old 100-checkpoint schedule stopped during agent 0 distillation; guide and expert checkpoints are retained	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/visuals	4196754	partial_dsdm_visuals	old validation history would conflict with the new eight-checkpoint protocol	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/DSDM.py	29949	partial_dsdm_runtime_copy	regenerated by sparse restart	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/args.txt	3744	partial_dsdm_runtime_args	contains the old validation schedule and will be regenerated	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/aug.png	53859	partial_dsdm_visual	regenerated by sparse restart	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/data_best.pt	2460644	partial_dsdm_best	best candidate selected under the stopped old schedule	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img100.png	599234	partial_dsdm_evaluation_visual	old validation history	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img200.png	602876	partial_dsdm_evaluation_visual	checkpoint 200 is not in the new sparse schedule	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img300.png	603716	partial_dsdm_evaluation_visual	checkpoint 300 is not in the new sparse schedule	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img600.png	603936	partial_dsdm_evaluation_visual	checkpoint 600 is not in the new sparse schedule	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/init.png	520155	partial_dsdm_visual	regenerated by sparse restart	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat5agent_20cls_ours_seed0_ipc10/agents/agent_0/checkpoints/log.txt	6461	partial_dsdm_log	contains the stopped old schedule run	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/packets	1231714	partial_dsdm_packet	old 100-checkpoint schedule stopped during agent 0 distillation; sparse restart must not consume the partial packet	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/synthetic	7389595	partial_dsdm_synthetic	old 100-checkpoint schedule stopped during agent 0 distillation; guide and expert checkpoints are retained	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/visuals	2402912	partial_dsdm_visuals	old validation history would conflict with the new eight-checkpoint protocol	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/DSDM.py	29949	partial_dsdm_runtime_copy	regenerated by sparse restart	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/args.txt	3864	partial_dsdm_runtime_args	contains the old validation schedule and will be regenerated	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/aug.png	53859	partial_dsdm_visual	regenerated by sparse restart	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/data_best.pt	1231012	partial_dsdm_best	best candidate selected under the stopped old schedule	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img100.png	292467	partial_dsdm_evaluation_visual	old validation history	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img1500.png	299739	partial_dsdm_evaluation_visual	old validation history from stopped run	user requested sparse-validation restart on 2026-07-22
outputs/cifar100_pat10agent_10cls_ours_seed0_ipc10/agents/agent_0/checkpoints/img1900.png	299534	partial_dsdm_evaluation_visual	checkpoint 1900 is not in the new sparse schedule	user requested sparse-validation restart on 2026-07-22
