id,title,role,status,actual_status,paper_eligible,agent_count,ipc,packet,soft_labels,protocol,comparability_group,seeds,expected_seeds,missing_seeds,global_mean,global_std,new_mean,new_std,expert_mean,expert_std,caveat,source_files
iclr2027_ours_5agent_ipc10,Ours,main,complete,complete,True,5,10,Distilled images,Sender expert-class logits,"DKP-SL r02, cosine expert, prototype initialization, 3780 receiver steps",iclr2027_5agent_ipc10_image_budget,3,3,[],39.18266666666667,0.5227933519937792,33.71666666666667,0.5334101507178922,61.04666666666666,0.9057716170328056,,"[""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_ours_10agent_ipc10,Ours,main,complete,complete,True,10,10,Distilled images,Sender expert-class logits,"DKP-SL r02, cosine expert, prototype initialization, 3780 receiver steps",iclr2027_10agent_ipc10_image_budget,3,3,[],34.02466666666666,0.1653326612889558,31.38851851851852,0.203282392593519,57.75,0.17682382946499783,,"[""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_ours_20agent_ipc10,Ours,main,complete,complete,True,20,10,Distilled images,Sender expert-class logits,"DKP-SL r02, cosine expert, prototype initialization, 3780 receiver steps",iclr2027_20agent_ipc10_image_budget,3,3,[],29.672166666666666,0.21257521544672642,28.226491228070174,0.22085050630975062,57.13999999999999,0.0778888096369892,,"[""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_heuristic_5agent_ipc10,Heuristic,baseline,complete,complete,True,5,10,Random real images,No,"Hard labels, r02 receiver, 3780 receiver steps",iclr2027_5agent_ipc10_image_budget,3,3,[],33.60466666666667,0.5867340870350792,25.905833333333334,0.7516380260618954,64.39999999999999,0.08524474568363587,,"[""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_heuristic_10agent_ipc10,Heuristic,baseline,complete,complete,True,10,10,Random real images,No,"Hard labels, r02 receiver, 3780 receiver steps",iclr2027_10agent_ipc10_image_budget,3,3,[],26.760999999999996,0.44685866520261946,23.983703703703707,0.5144987039086986,51.75666666666666,0.8857890393441417,,"[""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_heuristic_20agent_ipc10,Heuristic,baseline,complete,complete,True,20,10,Random real images,No,"Hard labels, r02 receiver, 3780 receiver steps",iclr2027_20agent_ipc10_image_budget,3,3,[],19.22,0.6304460061469711,16.817192982456138,0.6562359907780807,64.87333333333333,0.20853989759489297,,"[""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_fast_5agent_ipc10,FAST,baseline,complete,complete,True,5,10,Selected real images,No,"Official pixels/per-class/minmax selection, hard labels, r02 receiver",iclr2027_5agent_ipc10_image_budget,3,3,[],31.66933333333333,0.29091273987610455,23.540000000000003,0.4361335804544295,64.18666666666667,0.3578019315518319,,"[""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_fast_10agent_ipc10,FAST,baseline,complete,complete,True,10,10,Selected real images,No,"Official pixels/per-class/minmax selection, hard labels, r02 receiver",iclr2027_10agent_ipc10_image_budget,3,3,[],24.151,0.1236149936968282,21.13592592592593,0.14872388129329087,51.28666666666667,0.21746008573733236,,"[""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_fast_20agent_ipc10,FAST,baseline,complete,complete,True,20,10,Selected real images,No,"Official pixels/per-class/minmax selection, hard labels, r02 receiver",iclr2027_20agent_ipc10_image_budget,3,3,[],17.246,0.05962801355067999,14.803508771929826,0.0651021405501902,63.653333333333336,0.8397354080634902,,"[""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/social_results.csv""]"
iclr2027_full_real_5agent,Full Real,oracle,complete,complete,True,5,500,All real images,No,"High-communication full-data oracle, r02 receiver, 3780 receiver steps",iclr2027_5agent_full_data,3,3,[],58.07066666666666,1.280985384598727,54.44583333333333,2.071052805271322,72.57000000000001,1.8820379025584628,High-communication oracle; not IPC10 matched and not scheduled for 10/20 agents.,"[""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed1_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed2_v1/metrics/social_results.csv"", ""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed3_v1/metrics/social_results.csv""]"
