family,run_name,config,method,ipc,receiver_scope,num_receivers,global,new,expert,forgetting
cifar100_4agent_25cls_conv_family_ablation,cifar100_4agent_25cls_conv_family_ablation_fr020_kd050_ep200,configs/receiver_ablation/main_cifar100_conv_family_ablation_fr020_kd050_ep200.yaml,DSDM_LOGIT,10,"0,1,2,3",4,32.77,29.483333333333334,42.629999999999995,24.509999999999998
cifar100_4agent_25cls_conv_family_recipe_dsdm_image,cifar100_4agent_25cls_conv_family_recipe_dsdm_image_fr020_ep200,configs/receiver_recipe/main_cifar100_conv_family_recipe_dsdm_image_fr020_ep200.yaml,DSDM,10,"0,1,2,3",4,30.4725,26.403333333333336,42.68,24.459999999999997
cifar100_4agent_25cls_conv_family_recipe_dsdm_logit,cifar100_4agent_25cls_conv_family_recipe_dsdm_logit_fr020_ep200,configs/receiver_recipe/main_cifar100_conv_family_recipe_dsdm_logit_fr020_ep200.yaml,DSDM_LOGIT,10,"0,1,2,3",4,32.8675,29.689999999999998,42.4,24.74
cifar100_4agent_25cls_conv_family_recipe_heuristic_image,cifar100_4agent_25cls_conv_family_recipe_heuristic_image_fr020_ep200,configs/receiver_recipe/main_cifar100_conv_family_recipe_heuristic_image_fr020_ep200.yaml,HEURISTIC,10,"0,1,2,3",4,24.075,14.373333333333335,53.18,13.959999999999999
cifar100_4agent_25cls_conv_family_tuning,cifar100_4agent_25cls_conv_family_tuning_A_ep100_fr020_kd050,configs/receiver_tuning/main_cifar100_conv_family_tuning_A_ep100_fr020_kd050.yaml,DSDM_LOGIT,10,"0,1,2,3",4,33.575,30.09,44.03,23.11
cifar100_4agent_25cls_hetero_receiver_tuning_ipc50,cifar100_4agent_25cls_hetero_receiver_tuning_ipc50_ep150_lr0010_fr005_kd050_t2,configs/receiver_followup_tuning/main_cifar100_hetero_receiver_tuning_ipc50_ep150_lr0010_fr005_kd050_t2.yaml,DSDM_LOGIT,50,"0,1,2,3",4,28.7175,26.71666666666667,34.72,28.359999999999996
cifar100_4agent_25cls_joint_tuning_ipc10,cifar100_4agent_25cls_joint_tuning_ipc10_ep075_fr020_kd050,configs/receiver_joint_tuning/main_cifar100_joint_tuning_ipc10_ep075_fr020_kd050.yaml,DSDM_LOGIT,10,"0,1,2,3",4,33.575,30.166666666666664,43.8,23.339999999999996
cifar100_4agent_25cls_joint_tuning_ipc50,cifar100_4agent_25cls_joint_tuning_ipc50_ep300_fr005_kd050,configs/receiver_joint_tuning/main_cifar100_joint_tuning_ipc50_ep300_fr005_kd050.yaml,DSDM_LOGIT,50,"0,1,2,3",4,46.1625,45.21666666666667,49.0,16.369999999999997
cifar100_4agent_25cls_refine_tuning_followup_ipc10,cifar100_4agent_25cls_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3_sched,configs/receiver_followup_tuning/main_cifar100_refine_tuning_followup_ipc10_ep060_fr020_kd060_t3_sched.yaml,DSDM_LOGIT,10,"0,1,2,3",4,35.0275,32.29,43.24,23.9
cifar100_4agent_25cls_refine_tuning_followup_ipc50,cifar100_4agent_25cls_refine_tuning_followup_ipc50_ep225_fr005_kd050,configs/receiver_followup_tuning/main_cifar100_refine_tuning_followup_ipc50_ep225_fr005_kd050.yaml,DSDM_LOGIT,50,"0,1,2,3",4,46.230000000000004,45.66,47.94,17.43
cifar100_4agent_25cls_refine_tuning_ipc10,cifar100_4agent_25cls_refine_tuning_ipc10_ep060_fr020_kd050,configs/receiver_refinement_tuning/main_cifar100_refine_tuning_ipc10_ep060_fr020_kd050.yaml,DSDM_LOGIT,10,"0,1,2,3",4,33.905,30.456666666666667,44.25,22.89
cifar100_4agent_25cls_refine_tuning_ipc50,cifar100_4agent_25cls_refine_tuning_ipc50_ep250_fr005_kd050,configs/receiver_refinement_tuning/main_cifar100_refine_tuning_ipc50_ep250_fr005_kd050.yaml,DSDM_LOGIT,50,"0,1,2,3",4,46.182500000000005,45.446666666666665,48.39,16.979999999999997
