ipc_group,architecture_setting,role,method,n_agents,ipc,external_comm_images,external_comm_logit_bytes,global_after_avg,new_after_avg,expert_after_avg,forgetting_avg,lambda_fr,lambda_kd,use_logits,source,note
IPC10 ConvFamily,Strict ConvNet family hetero,main,DSDM,4,10,750,0,28.415,24.393,40.480,26.660,0.05,0.0,false,outputs/cifar100_4agent_25cls_conv_family_ipc10/metrics/social_results.csv,initial recipe: ep500/fr0.05
IPC10 ConvFamily,Strict ConvNet family hetero,main,DSDM_LOGIT,4,10,750,150000,32.302,29.717,40.060,27.080,0.05,0.5,true,outputs/cifar100_4agent_25cls_conv_family_ipc10/metrics/social_results.csv,initial recipe: ep500/fr0.05
IPC10 ConvFamily,Strict ConvNet family hetero,main,FULL_REAL,4,10,37500,0,48.597,47.780,51.050,16.090,0.05,0.0,false,outputs/cifar100_4agent_25cls_conv_family_ipc10/metrics/social_results.csv,initial recipe: ep500/fr0.05
IPC10 ConvFamily,Strict ConvNet family hetero,main,HEURISTIC,4,10,750,0,23.458,13.933,52.030,15.110,0.05,0.0,false,outputs/cifar100_4agent_25cls_conv_family_ipc10/metrics/social_results.csv,initial recipe: ep500/fr0.05
IPC10 ConvFamily,Strict ConvNet family hetero,recipe,HEURISTIC,4,10,750,0,24.075,14.373,53.180,13.960,0.2,0.0,false,outputs/cifar100_4agent_25cls_conv_family_recipe_heuristic_image_fr020_ep200/metrics/social_results.csv,best baseline recipe: ep200/fr0.20
IPC10 ConvFamily,Strict ConvNet family hetero,recipe,DSDM,4,10,750,0,30.473,26.403,42.680,24.460,0.2,0.0,false,outputs/cifar100_4agent_25cls_conv_family_recipe_dsdm_image_fr020_ep200/metrics/social_results.csv,image-only recipe: ep200/fr0.20
IPC10 ConvFamily,Strict ConvNet family hetero,recipe,DSDM_LOGIT,4,10,750,150000,32.867,29.690,42.400,24.740,0.2,0.5,true,outputs/cifar100_4agent_25cls_conv_family_recipe_dsdm_logit_fr020_ep200/metrics/social_results.csv,recipe: ep200/fr0.20/kd0.50
IPC10 ConvFamily,Strict ConvNet family hetero,tuning,DSDM_LOGIT,4,10,750,150000,33.575,30.090,44.030,23.110,0.2,0.5,true,outputs/cifar100_4agent_25cls_conv_family_tuning_A_ep100_fr020_kd050/metrics/social_results.csv,best global: ep100/fr0.20/kd0.50
IPC10 ConvFamily,Strict ConvNet family hetero,tuning,DSDM_LOGIT,4,10,750,150000,32.985,29.877,42.310,24.830,0.2,0.75,true,outputs/cifar100_4agent_25cls_conv_family_tuning_H_ep200_fr020_kd075/metrics/social_results.csv,kd-high check: ep200/fr0.20/kd0.75
IPC10 ConvFamily,Strict ConvNet family hetero,generalist,DSDM_PACKET_GENERALIST,4,10,750,150000,32.002,30.220,37.350,29.790,0.05,0.5,true,outputs/cifar100_4agent_25cls_conv_family_packet_generalist/metrics/social_results.csv,packet generalist logits
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,main,DSDM_LOGIT,4,50,3750,750000,45.177,43.737,49.500,15.870,0.05,0.5,true,outputs/cifar100_4agent_25cls_ipc50_allconvnet/metrics/social_results.csv,DSDM cov_weight=50; ep500/fr0.05/kd0.50
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,main,DSDM_LOGIT,4,50,3750,750000,44.573,43.283,48.440,17.360,0.05,0.5,true,outputs/cifar100_4agent_25cls_ipc50_allconvnet-conv70/metrics/social_results.csv,DSDM cov_weight=70; ep500/fr0.05/kd0.50
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,baseline,FULL_REAL,4,50,37500,0,46.038,45.427,47.870,17.500,0.2,0.0,false,outputs/cifar100_4agent_25cls_ipc50_allconvnet_baseline_nologit/metrics/social_results.csv,baselines cov50 source experts; ep200/fr0.20
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,baseline,HEURISTIC,4,50,3750,0,35.390,30.607,49.740,15.630,0.2,0.0,false,outputs/cifar100_4agent_25cls_ipc50_allconvnet_baseline_nologit/metrics/social_results.csv,baselines cov50 source experts; ep200/fr0.20
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,baseline,FULL_REAL,4,50,37500,0,46.587,46.177,47.820,17.980,0.2,0.0,false,outputs/cifar100_4agent_25cls_ipc50_allconvnet_cov70_baseline_nologit/metrics/social_results.csv,baselines cov70 source experts; ep200/fr0.20
IPC50 AllConv,All agents convnet-3-w1.0; not strict depth-width hetero,baseline,HEURISTIC,4,50,3750,0,34.965,30.050,49.710,16.090,0.2,0.0,false,outputs/cifar100_4agent_25cls_ipc50_allconvnet_cov70_baseline_nologit/metrics/social_results.csv,baselines cov70 source experts; ep200/fr0.20
