run_name,receiver_agent,receiver_model,lambda_fr,lambda_kd,kd_temperature,acc_global_after,acc_new_after,acc_expert_after,forgetting,source_file
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr025_kd060_t3_sched_self20,2,vgg,0.25,0.6,3.0,26.05,28.12,19.84,44.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr025_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self30,2,vgg,0.2,0.6,3.0,25.81,27.48,20.8,43.519999999999996,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr030_kd060_t3_sched_self20,2,vgg,0.3,0.6,3.0,25.69,27.64,19.84,44.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr030_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self20,2,vgg,0.2,0.6,3.0,25.65,28.173333333333332,18.08,46.239999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd070_t4_sched_self20,2,vgg,0.2,0.7,4.0,25.42,27.8,18.28,46.03999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd070_t4_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_latefr_self20,2,vgg,0.2,0.6,3.0,25.19,26.56,21.08,43.239999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_latefr_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_ep075_fr020_kd060_t3_sched_self20,2,vgg,0.2,0.6,3.0,25.07,27.626666666666665,17.4,46.919999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_ep075_fr020_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd050_t3_sched_self20,2,vgg,0.2,0.5,3.0,24.4,26.813333333333333,17.16,47.16,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd050_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t3_sched_self15,3,alexnet,0.2,0.6,3.0,32.99,27.066666666666666,50.76,20.32,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t3_sched_self15/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t4_sched,3,alexnet,0.2,0.6,4.0,32.93,27.426666666666666,49.44,21.64,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t4_sched/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd070_t3_sched,3,alexnet,0.2,0.7,3.0,32.81,27.48,48.8,22.28,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd070_t3_sched/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t3_sched,3,alexnet,0.2,0.6,3.0,32.21,26.16,50.36,20.72,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr020_kd060_t3_sched/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_ep075_fr020_kd060_t3_sched,3,alexnet,0.2,0.6,3.0,32.1,26.266666666666666,49.6,21.479999999999997,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_ep075_fr020_kd060_t3_sched/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr025_kd060_t3_sched,3,alexnet,0.25,0.6,3.0,31.96,26.546666666666667,48.2,22.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_alex_fr025_kd060_t3_sched/metrics/social_results.csv
