run_name,receiver_agent,receiver_model,lambda_fr,lambda_kd,kd_temperature,acc_global_after,acc_new_after,acc_expert_after,forgetting,source_file
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self4p0,2,vgg,0.3,0.6,3.0,27.27,27.973333333333333,25.16,39.16,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t4p0_self4p0,2,vgg,0.3,0.5,4.0,27.21,28.36,23.76,40.55999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self4p0,2,vgg,0.25,0.5,4.0,26.97,28.32,22.92,41.39999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self3p0,2,vgg,0.3,0.6,4.0,26.81,28.69333333333333,21.16,43.16,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t3p0_self4p0,2,vgg,0.4,0.6,3.0,26.75,27.666666666666668,24.0,40.31999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self4p0,2,vgg,0.35,0.6,4.0,26.66,27.813333333333333,23.2,41.11999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p6_t4p0_self3p0,2,vgg,0.25,0.6,4.0,26.66,29.2,19.04,45.279999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0_self4p0,2,vgg,0.25,0.5,3.0,26.61,27.666666666666668,23.44,40.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self4p0,2,vgg,0.25,0.6,3.0,26.58,28.0,22.32,41.99999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self3p0,2,vgg,0.25,0.5,4.0,26.54,28.16,21.68,42.63999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p5_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p5_t4p0_self3p0,2,vgg,0.25,0.5,4.0,26.48,29.093333333333334,18.64,45.67999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p5_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self4p0,2,vgg,0.4,0.6,4.0,26.46,27.52,23.28,41.03999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p6_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self2p5,2,vgg,0.35,0.6,4.0,26.42,28.48,20.24,44.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p6_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p4_t4p0_self4p0,2,vgg,0.4,0.4,4.0,26.41,27.053333333333335,24.48,39.83999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p4_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self4p0,2,vgg,0.3,0.6,4.0,26.39,27.706666666666667,22.44,41.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t4p0_self4p0,2,vgg,0.25,0.4,4.0,26.38,28.053333333333335,21.36,42.959999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t4p0_self4p0/metrics/social_results.csv
