time,agent,model,iteration,total_iterations,progress_pct,best_acc,conv_reference_best,gap_to_reference,status,log_path
2026-07-06T14:37:34,2,vgg,815,10000,8.15,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T14:37:34,3,alexnet,97,10000,0.97,-1.0000,75.5000,,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T14:45:22,2,vgg,899,10000,8.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T14:45:22,3,alexnet,97,10000,0.97,-1.0000,75.5000,,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T14:52:54,2,vgg,899,10000,8.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T14:52:54,3,alexnet,199,10000,1.99,69.7000,75.5000,5.8000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T15:03:30,2,vgg,999,10000,9.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T15:03:30,3,alexnet,199,10000,1.99,69.7000,75.5000,5.8000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T15:14:06,2,vgg,1075,10000,10.75,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T15:14:06,3,alexnet,299,10000,2.99,69.7000,75.5000,5.8000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T15:29:43,2,vgg,1099,10000,10.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T15:29:43,3,alexnet,399,10000,3.99,71.1000,75.5000,4.4000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T15:50:15,2,vgg,1278,10000,12.78,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T15:50:15,3,alexnet,499,10000,4.99,71.1000,75.5000,4.4000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T16:10:49,2,vgg,1399,10000,13.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T16:10:49,3,alexnet,599,10000,5.99,71.2000,75.5000,4.3000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T16:31:44,2,vgg,1497,10000,14.97,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T16:31:44,3,alexnet,699,10000,6.99,72.4000,75.5000,3.1000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T16:52:58,2,vgg,1599,10000,15.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T16:52:58,3,alexnet,899,10000,8.99,72.7000,75.5000,2.8000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T17:14:04,2,vgg,1699,10000,16.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:14:04,3,alexnet,999,10000,9.99,72.7000,75.5000,2.8000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
2026-07-06T17:35:27,2,vgg,1799,10000,17.99,64.5000,70.2000,5.7000,ok,logs/hetero4arch_ipc50/queue_20260706_122103.log
2026-07-06T17:35:27,3,alexnet,1099,10000,10.99,72.8000,75.5000,2.7000,ok,logs/hetero4arch_ipc50/alex_parallel_20260706_143131.log
