id,title,agent_count,comparability_group,object,unique_images,image_deliveries,aux_kind,aux_bytes,reported_rounds,executed_rounds,executed_aux_bytes,note,source_files
iclr2027_ours_5agent_ipc10,Ours,5,iclr2027_5agent_ipc10_image_budget,Synthetic image packets + sender-local logits,1000,4000,sender logits,640000,1,1,640000,,"[""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_5agent20cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/scaling_seed_summary.json""]"
iclr2027_ours_10agent_ipc10,Ours,10,iclr2027_10agent_ipc10_image_budget,Synthetic image packets + sender-local logits,1000,9000,sender logits,720000,1,1,720000,,"[""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_10agent10cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/scaling_seed_summary.json""]"
iclr2027_ours_20agent_ipc10,Ours,20,iclr2027_20agent_ipc10_image_budget,Synthetic image packets + sender-local logits,1000,19000,sender logits,760000,1,1,760000,,"[""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed1_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed2_v1/metrics/scaling_seed_summary.json"", ""outputs/cifar100_20agent5cls_dkp_r02_full_steps3780_ipc10_seed3_v1/metrics/scaling_seed_summary.json""]"
iclr2027_heuristic_5agent_ipc10,Heuristic,5,iclr2027_5agent_ipc10_image_budget,Random real image packets + hard labels,1000,4000,none,0,1,1,0,,"[""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_heuristic_10agent_ipc10,Heuristic,10,iclr2027_10agent_ipc10_image_budget,Random real image packets + hard labels,1000,9000,none,0,1,1,0,,"[""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_10agent10cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_heuristic_20agent_ipc10,Heuristic,20,iclr2027_20agent_ipc10_image_budget,Random real image packets + hard labels,1000,19000,none,0,1,1,0,,"[""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_20agent5cls_heuristic_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_fast_5agent_ipc10,FAST,5,iclr2027_5agent_ipc10_image_budget,FAST-selected real image packets + hard labels,1000,4000,none,0,1,1,0,,"[""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_fast_10agent_ipc10,FAST,10,iclr2027_10agent_ipc10_image_budget,FAST-selected real image packets + hard labels,1000,9000,none,0,1,1,0,,"[""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_10agent10cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_fast_20agent_ipc10,FAST,20,iclr2027_20agent_ipc10_image_budget,FAST-selected real image packets + hard labels,1000,19000,none,0,1,1,0,,"[""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_20agent5cls_fast_hard_r02_steps3780_ipc10_seed3_v1/metrics/hard_label_complete_audit.json""]"
iclr2027_full_real_5agent,Full Real,5,iclr2027_5agent_full_data,Full real-data image packets + hard labels,50000,200000,none,0,1,1,0,,"[""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed1_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed2_v1/metrics/hard_label_complete_audit.json"", ""outputs/cifar100_5agent20cls_full_real_r02_steps3780_seed3_v1/metrics/hard_label_complete_audit.json""]"
