id,title,role,status,actual_status,paper_eligible,table_section,ipc,packet,soft_labels,protocol,comparability_group,seeds,expected_seeds,missing_seeds,global_mean,global_std,new_mean,new_std,expert_mean,expert_std,forgetting_mean,forgetting_std,caveat,source_files
one_resnet_ours_ipc10,Ours,main,complete,complete,True,ipc,10,Distilled images,Sender expert logits,one-ResNet self-guided DSDM,one_resnet_ipc10_image_budget,3,3,[],32.781666666666666,0.2940828492486808,29.106666666666666,0.34670939907566356,43.80666666666667,0.6897503574160414,23.236666666666665,0.6003517487458694,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc10/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc10/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc10/metrics/social_results.csv""]"
one_resnet_ours_ipc50,Ours,main,interim,interim,True,ipc,50,Distilled images,Sender expert logits,one-ResNet self-guided DSDM,one_resnet_ipc50_image_budget,2,3,[1],35.6,0.5625,33.48166666666667,0.5550000000000033,41.955,0.5850000000000009,25.139999999999997,0.870000000000001,Interim until seed1 has four receiver rows.,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc50/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc50/metrics/social_results.csv""]"
one_resnet_heuristic_ipc10,Heuristic,baseline,complete,complete,True,ipc,10,Random real images,No,"hard labels, factor 1",one_resnet_ipc10_image_budget,3,3,[],22.347499999999997,0.13642763649642267,18.136666666666667,0.3307343120772105,34.98,0.725304533741976,32.06333333333333,0.4865068230650941,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc10_heuristic_hard/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc10_heuristic_hard/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc10_heuristic_hard/metrics/social_results.csv""]"
one_resnet_heuristic_ipc50,Heuristic,baseline,complete,complete,True,ipc,50,Random real images,No,"hard labels, factor 1",one_resnet_ipc50_image_budget,3,3,[],32.575,0.5046327047137036,29.24222222222222,0.8049169882818299,42.57333333333333,0.8701085500607875,24.47,0.6796077299933165,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc50_heuristic_hard/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc50_heuristic_hard/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc50_heuristic_hard/metrics/social_results.csv""]"
one_resnet_fast_ipc10,FAST,baseline,complete,complete,True,ipc,10,Selected real images,No,"official pixels/per-class/minmax, hard labels",one_resnet_ipc10_image_budget,3,3,[],20.294999999999998,0.3129363620077847,15.578888888888889,0.15847264826118637,34.443333333333335,1.0024082113701092,32.6,1.0136403043815223,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc10_fast/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc10_fast/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc10_fast/metrics/social_results.csv""]"
one_resnet_fast_ipc50,FAST,baseline,complete,complete,True,ipc,50,Selected real images,No,"official pixels/per-class/minmax, hard labels",one_resnet_ipc50_image_budget,3,3,[],31.058333333333334,0.3577262298959296,27.176666666666666,0.46419185050372663,42.70333333333334,0.5833999961909117,24.34,0.4181706190858783,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc50_fast/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc50_fast/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc50_fast/metrics/social_results.csv""]"
masc_complete_ipc10,MASC-complete,baseline,complete,complete,True,ipc,10,Real CC images,Teacher KD,homogeneous official Netwider; CC + RA + HFE; model interaction,adapted_baseline_ipc10,1,1,[],9.9575,0.0,2.76,0.0,31.549999999999997,0.0,39.69,0.0,Single seed and about 452 MB model-parameter interaction.,"[""external_baselines/outputs/masc_complete/seed0_10/social_results.csv""]"
masc_complete_ipc50,MASC-complete,baseline,complete,complete,True,ipc,50,Real CC images,Teacher KD,homogeneous official Netwider; CC + RA + HFE; model interaction,adapted_baseline_ipc50,1,1,[],22.8125,0.0,14.786666666666667,0.0,46.88999999999999,0.0,24.35,0.0,Single seed and about 452 MB model-parameter interaction.,"[""external_baselines/outputs/masc_complete/seed0_50/social_results.csv""]"
desa_cil_ipc10,DeSA-CIL,baseline,complete,complete,True,ipc,10,Synthetic anchors,Owner KD,"owner-aware class-incremental adaptation, seed0 one-ResNet",adapted_baseline_ipc10,1,1,[],19.535,0.0,4.243333333333333,0.0,65.41,0.0,0.5299999999999994,0.0,Single seed; iterative owner logits are additional communication.,"[""external_baselines/outputs/desa_cil/cifar100_4agent_25cls_one_resnet_seed0_ipc10/social_results.csv""]"
desa_cil_ipc50,DeSA-CIL,baseline,complete,complete,True,ipc,50,Synthetic anchors,Owner KD,"owner-aware class-incremental adaptation, seed0 one-ResNet",adapted_baseline_ipc50,1,1,[],15.0225,0.0,0.9633333333333333,0.0,57.2,0.0,8.739999999999997,0.0,Single seed; iterative owner logits are additional communication.,"[""external_baselines/outputs/desa_cil/cifar100_4agent_25cls_one_resnet_seed0_ipc50/social_results.csv""]"
one_resnet_full_real,Full Real,oracle,complete,complete,True,validation,,All real images,No,"one-ResNet heterogeneous receivers; 37,500 external images/receiver",one_resnet_full_data,3,3,[],51.16083333333333,0.31692752413691716,50.4,0.4747943024401511,53.443333333333335,0.4228737662970151,13.599999999999996,0.18991226044325524,,"[""outputs/cifar100_4agent_25cls_one_resnet_seed0_ipc10_fullreal/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed1_ipc10_fullreal/metrics/social_results.csv"", ""outputs/cifar100_4agent_25cls_one_resnet_seed2_ipc10_fullreal/metrics/social_results.csv""]"
masc_full_validation,MASC Full,oracle,complete,complete,True,validation,,Full collaboration data,Teacher KD,homogeneous official Netwider; validation gate,masc_full_data,1,1,[],65.43,0.0,65.03333333333333,0.0,66.62,0.0,4.619999999999997,0.0,Not comparable to one-ResNet Full Real as a method ranking.,"[""external_baselines/outputs/masc_complete/seed0_full/social_results.csv""]"
